"Date & Time","Barometer - hPa","Inside Temp - °C","Inside Hum - %","Inside Dew Point - °C","Inside Heat Index - °C","Inside EMC","Temp - °C","High Temp - °C","Low Temp - °C","Hum - %","Dew Point - °C","Wet Bulb - °C","Wind Speed - km/h","Wind Direction","Wind Run - km","High Wind Speed - km/h","High Wind Direction","Wind Chill - °C","Heat Index - °C","THW Index - °C","THSW Index - °C","Rain - mm","Rain Rate - mm/h","Solar Rad - W/m^2","Solar Energy - Ly","High Solar Rad - W/m^2","ET - mm","UV Index","UV Dose - MEDs","High UV Index","Heating Degree Days","Cooling Degree Days"
"6/2/13 22:00","1001,3","20","37","5","19","7,3","-1","-1","-1","95","-1","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,394","0,000"
"6/2/13 22:30","1001,7","20","37","5","19","7,3","-1","-1","-1","95","-1","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,394","0,000"
"6/2/13 23:00","1001,9","20","37","5","18","7,3","-0","-0","-1","96","-1","--","0","","0,0","0","","-0","-1","-1","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,392","0,000"
"6/2/13 23:30","1002,2","20","37","5","18","7,3","-0","-0","-1","96","-1","--","0","","0,0","0","","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,388","0,000"
"7/2/13 00:00","1002,3","20","37","5","18","7,3","-0","-0","-0","96","-1","--","0","","0,0","0","","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,388","0,000"
"7/2/13 00:30","1002,5","20","37","5","18","7,3","-0","-0","-0","96","-1","--","0","","0,0","0","","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,388","0,000"
"7/2/13 01:00","1002,8","20","37","4","18","7,3","-0","-0","-0","96","-1","--","0","","0,0","0","","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,387","0,000"
"7/2/13 01:30","1003,1","19","37","4","18","7,3","-0","-0","-0","96","-1","--","0","","0,0","0","","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,388","0,000"
"7/2/13 02:00","1003,3","19","37","4","18","7,3","-0","-0","-0","96","-1","--","0","","0,0","0","","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,388","0,000"
"7/2/13 02:30","1003,5","19","37","4","18","7,3","-0","-0","-0","96","-1","--","0","","0,0","0","","-0","-0","-0","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,389","0,000"
"7/2/13 03:00","1003,6","19","37","4","18","7,3","-0","-0","-1","96","-1","--","0","","0,0","0","","-0","-1","-1","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,392","0,000"
"7/2/13 03:30","1003,9","19","37","4","18","7,3","-0","-0","-0","96","-1","--","0","","0,0","0","","-0","-1","-1","-2","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,392","0,000"
"7/2/13 04:00","1004,3","19","37","4","18","7,3","-1","-0","-1","96","-1","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,397","0,000"
"7/2/13 04:30","1004,6","19","37","4","18","7,3","-1","-1","-1","96","-1","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,399","0,000"
"7/2/13 05:00","1005,0","19","37","4","18","7,3","-1","-1","-1","96","-1","--","0","","0,0","0","","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,399","0,000"
"7/2/13 05:30","1005,4","19","37","4","18","7,3","-1","-1","-1","96","-1","--","0","","0,0","5","WSW","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,398","0,000"
"7/2/13 06:00","1005,8","19","37","4","18","7,3","-1","-1","-1","96","-1","--","0","","0,0","6","W","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,397","0,000"
"7/2/13 06:30","1006,4","20","37","4","18","7,3","-1","-1","-1","95","-1","--","0","","0,0","11","NW","-1","-1","-1","-3","0,0","0,0","0","0,00","0","0,0","0","0,0","0","0,398","0,000"
"7/2/13 07:00","1007,0","20","37","5","18","7,3","-1","-1","-1","95","-2","--","2","WNW","0,8","10","WNW","-1","-1","-1","-3","0,0","0,0","4","0,17","5","0,0","0","0,0","0","0,400","0,000"
"7/2/13 07:30","1007,5","20","37","5","18","7,3","-1","-1","-1","94","-2","--","0","","0,0","11","WSW","-1","-1","-1","-3","0,0","0,0","8","0,34","12","0,0","0","0,0","0","0,400","0,000"
"7/2/13 08:00","1008,0","20","37","5","18","7,3","-1","-1","-1","95","-1","--","0","","0,0","10","WSW","-1","-1","-1","-3","0,0","0,0","15","0,65","16","0,0","0","0,0","0","0,398","0,000"
"7/2/13 08:30","1008,6","20","37","5","18","7,3","-1","-1","-1","93","-2","--","0","","0,0","10","WNW","-1","-1","-1","-2","0,0","0,0","22","0,95","30","0,0","0","0,0","0","0,396","0,000"
